SID,SMILES,Carcinogenicity-Rodents
48413509,COC1=CC=C(C=C1)C(=O)C(=CC(=O)[O-])Br.[Na+],carcinogenic
48413510,CN(C)NN=C1C(=NC=N1)C(=O)N,carcinogenic
48413511,CN(C)NC(=O)CCC(=O)O,carcinogenic
48413512,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,carcinogenic
48413513,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,non-carcinogenic
48413514,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,carcinogenic
48413515,C1=CC(=CC=C1C(=C(Cl)Cl)C2=CC=C(C=C2)Cl)Cl,carcinogenic
48413516,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl,carcinogenic
48413517,C1(=C(C(=C(C(=C1Br)Br)Br)Br)Br)OC2=C(C(=C(C(=C2Br)Br)Br)Br)Br,carcinogenic
48413517,C1(=C(C(=C(C(=C1Br)Br)Br)Br)Br)OC2=C(C(=C(C(=C2Br)Br)Br)Br)Br,carcinogenic
48413520,CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(C4)O)C,carcinogenic
48413521,CC(=O)OC1CCC2(C3CCC4(C(C3CC=C2C1)CCC4=O)C)C,carcinogenic
48413522,CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(C4)OS(=O)(=O)O)C,non-carcinogenic
48413523,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Br)Br)C,non-carcinogenic
48413531,CC(=O)N(C1=CC=CC2=C1CC3=CC=CC=C32)C(=O)C,carcinogenic
48413532,CC(=O)NNC(=O)C,non-carcinogenic
48413534,C=CCOC(=O)C1=CC=CC=C1C(=O)OCC=C,non-carcinogenic
48413535,C=CCN(CC=C)N,carcinogenic
48413536,C=CCNNCC=C.Cl.Cl,carcinogenic
48413537,C=CCN(CC=C)N=O,carcinogenic
48413539,C1=CC(=C(C=C1N)S(=O)(=O)[O-])C=CC2=C(C=C(C=C2)N)S(=O)(=O)[O-].[Na+].[Na+],non-carcinogenic
48413540,COC1=C(C=C(C=C1)N)N.OS(=O)(=O)O,carcinogenic
48413541,C1=CC(=CC=C1N)N=NC2=CC=C(C=C2)N,non-carcinogenic
48413542,C1=CC(=CC=C1C(=O)NC2=CC=C(C=C2)N)N,non-carcinogenic
48413544,CC1=C(C=C(C=C1)N)N,carcinogenic
48413545,CC1=C(C=C(C=C1)N)N.Cl.Cl,carcinogenic
48413546,CC1=C(C=CC=C1N)N.Cl.Cl,non-carcinogenic
48413547,CC1=C(C=CC(=C1)N)N.OS(=O)(=O)O,non-carcinogenic
48413548,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,non-carcinogenic
48413549,CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C,non-carcinogenic
48413552,C1=CC=C2C(=C1)OC3=CC=CC=C3O2,non-carcinogenic
48413554,CC1=NC=C(C(=N1)N)CN(C=O)C(=C(CCOC(=O)C2=CC=CC=C2)SC(=O)C3=CC=CC=C3)C.Cl,non-carcinogenic
48413555,C(C(CBr)Br)Cl,carcinogenic
48413556,C(C(C(C(C(CBr)O)O)O)O)Br,carcinogenic
48413557,C(CBr)Br,carcinogenic
48413558,C(C(C(C(C(CBr)O)O)O)O)Br,carcinogenic
48413559,C1=CC2=C(C=C(C=C2N=C1)Br)Br,non-carcinogenic
48413560,CCCCNC(=O)N(CCCC)N=O,carcinogenic
48413561,CCCC[Sn](CCCC)(OC(=O)C)OC(=O)C,non-carcinogenic
48413565,C(=O)C(=C(C(=O)O)Cl)Cl,non-carcinogenic
48413566,CC(=C)C(=O)NC1=CC(=C(C=C1)Cl)Cl,non-carcinogenic
48413567,C1=CC=C2C(=C1)C(=O)C(=C(C2=O)Cl)Cl,non-carcinogenic
48413568,C1=C(C=C(C(=C1Cl)N)Cl)[N+](=O)[O-],non-carcinogenic
48413569,C1=C(C=C(C(=C1Cl)N)Cl)N,carcinogenic
48413570,C(C(=O)O)(Cl)Cl,carcinogenic
48413571,C(#CCl)Cl,carcinogenic
48413572,C1=CC=C(C(=C1)Cl)Cl,non-carcinogenic
48413573,C1=CC(=CC=C1Cl)Cl,carcinogenic
48413574,C1=CC(=C(C=C1C2=CC(=C(C=C2)N)Cl)Cl)N,carcinogenic
48413576,C(C=CCCl)Cl,carcinogenic
48413578,C1=CC2=C(C=C1Cl)OC3=C(O2)C=C(C=C3)Cl,non-carcinogenic
48413579,C(F)(F)(Cl)Cl,non-carcinogenic
48413580,C1=CC(=CC=C1S(=O)(=O)C2=CC=C(C=C2)Cl)Cl,non-carcinogenic
48413581,CC(Cl)Cl,non-carcinogenic
48413582,C(CCl)Cl,carcinogenic
48413583,C1=CC(=C(C=C1Cl)Cl)O,non-carcinogenic
48413584,CC(C(=O)O)OC1=C(C=C(C=C1)Cl)Cl,non-carcinogenic
48413585,CC(C(=O)O)OC1=C(C=CC(=C1)Cl)Cl,non-carcinogenic
48413586,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,non-carcinogenic
48413587,CCCCOC(=O)COC1=C(C=C(C=C1)Cl)Cl,non-carcinogenic
48413588,CCCCC(CC)COC(=O)COC1=C(C=C(C=C1)Cl)Cl,non-carcinogenic
48413589,CC(C)OC(=O)COC1=C(C=C(C=C1)Cl)Cl,non-carcinogenic
48413590,CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl,non-carcinogenic
48413591,C1=CC=C(C=C1)S(=O)(=O)OC2=C(C=C(C=C2)Cl)Cl,non-carcinogenic
48413592,CC(CCl)Cl,carcinogenic
48413593,COP(=O)(OC)OC=C(Cl)Cl,carcinogenic
48413596,C1CCC(CC1)NC(=S)NC2CCCCC2,non-carcinogenic
48413597,C1C2C3CC4C(C3C1C5C2O5)O4,non-carcinogenic
48413598,C1C2C3C(C1C4C2O4)C5(C(=C(C3(C5(Cl)Cl)Cl)Cl)Cl)Cl,carcinogenic
48413599,C12C3C(C4C1C5(C(C3(C4(C5(Cl)Cl)Cl)Cl)Cl)Cl)C6C2O6,non-carcinogenic
48413603,CCN(CC)C(=O)C1=CC(=CC=C1)C,non-carcinogenic
48413604,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl,non-carcinogenic
48413607,CCN(CC)CC#CC(C)(C)OC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O.O.Cl,non-carcinogenic
48413611,CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,carcinogenic
48413612,CCNC(=S)NCC,carcinogenic
48413613,C(CC(C(F)F)(C(=O)O)N)CN,non-carcinogenic
48413614,C(=O)NNC=O,carcinogenic
48413615,C1C2=CC=CC=C2C(=O)N3N1C(=O)C4=CC=CC=C4C3,carcinogenic
48413616,C1C(O1)COC2=CC(=CC=C2)OCC3CO3,carcinogenic
48413620,C1CC(=O)OC2=CC=CC=C21,carcinogenic
48413621,CCCC1=CC2=C(C=C1)OCO2,carcinogenic
48413624,CC(C)CCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCC(C)C,carcinogenic
48413625,CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O.Cl,non-carcinogenic
48413627,CNC(=O)CSP(=S)(OC)OC,non-carcinogenic
48413628,CC1CC(OC(O1)C)OC(=O)C,carcinogenic
48413628,CC1CC(OC(O1)C)OC(=O)C,carcinogenic
48413630,COC1=CC(=C(C=C1)OC)C=CC2=CC=C(C=C2)N,carcinogenic
48413631,COC1=CC(=C(C=C1)N)OC.Cl,non-carcinogenic
48413632,COC1=C(C=CC(=C1)C2=CC(=C(C=C2)N=C=O)OC)N=C=O,carcinogenic
48413633,COC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)OC)N.Cl.Cl,carcinogenic
48413638,CC(=O)NCCSP(=S)(OC)OC,non-carcinogenic
48413641,CO[P+](=O)OC,carcinogenic
48413643,COP(=O)(N1CCOCC1)OC,carcinogenic
48413644,CC1=CC(=NC(=N1)C2=CC=C(O2)[N+](=O)[O-])C,carcinogenic
48413646,COC(=O)C1=CC=C(C=C1)C(=O)OC,non-carcinogenic
48413647,CC(=O)N(C)C,non-carcinogenic
48413648,CCC(C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2)OC(=O)C.Cl,carcinogenic
48413649,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2.Cl,non-carcinogenic
48413650,CN(C)CNC1=NN=C(O1)C=CC2=CC=C(O2)[N+](=O)[O-],carcinogenic
48413651,CC1=CC(=CC(=C1N(C)C)C)O,non-carcinogenic
48413652,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,non-carcinogenic
48413654,CC[NH2+]C(=O)N(CCN(C)C)N=O.N(=O)[O-],carcinogenic
48413660,CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)C)N.Cl.Cl,carcinogenic
48413661,CN(C)C(=O)Cl,carcinogenic
48413662,CNC.CN(C)C(=S)S,non-carcinogenic
48413663,CCCCCCCCCCCC[N+](C)(C)[O-],non-carcinogenic
48413664,CN(C)C=O,non-carcinogenic
48413665,CN(C)N,carcinogenic
48413666,CNNC.Cl.Cl,carcinogenic
48413667,CN(C)NC1=NC(=CS1)C2=CC=C(O2)[N+](=O)[O-],carcinogenic
48413668,CN(C)[N+](=O)[O-],carcinogenic
48413670,CC(=CCl)C,carcinogenic
48413671,CC(C)(C)C1=CC(=CC(=C1OS(=O)(=O)C)[N+](=O)[O-])[N+](=O)[O-],non-carcinogenic
48413672,CCCCCCC(C)C1=CC(=CC(=C1OC(=O)C=CC)[N+](=O)[O-])[N+](=O)[O-],non-carcinogenic
48413676,C1CN(CCN(C1)N=O)N=O,carcinogenic
48413678,C1CN(CCN1N=O)N=O,carcinogenic
48413681,CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],carcinogenic
48413681,CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],carcinogenic
48413684,C1COCCO1,carcinogenic
48413685,CCOP(=S)(OCC)SC1C(OCCO1)SP(=S)(OCC)OCC,non-carcinogenic
48413686,C1CCN(CC1)C(=S)SSSSSSC(=S)N2CCCCC2,non-carcinogenic
48413687,CCCCCN(CCCCC)N=O,carcinogenic
48413688,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2.Cl,non-carcinogenic
48413689,C1=CC=C(C=C1)NC2=CC=C(C=C2)NC3=CC=CC=C3,non-carcinogenic
48413690,C1=CC=C(C=C1)C(C#N)C2=CC=CC=C2,non-carcinogenic
48413691,C1=CC=C(C=C1)OC(=O)OC2=CC=CC=C2,non-carcinogenic
48413694,CCC(O)OC(CC)O,non-carcinogenic
48413695,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)CS(=O)(=O)[O-].[Na+],carcinogenic
48413696,C1=NC(=O)C2=C(N1)N(C=N2)C3C(C(C(O3)COP(=O)([O-])[O-])O)O.[Na+].[Na+],non-carcinogenic
48413697,C(=S)(N)NNC(=S)N,non-carcinogenic
48413700,CCCCCCCCCCCCN=C(N)N.CC(=O)O,non-carcinogenic
48413703,C1=CC=C(C(=C1)C2=NC(C(=O)N(C3=C2C=C(C=C3)Cl)CCO)O)F,non-carcinogenic
48413704,CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C.C(CC(=O)O)C(=O)O,carcinogenic
48413705,CC(C1CCC2(C1(CCC3C2=CC(=O)C4C3(CC(C(C4)O)O)C)C)O)C(CCC(C)(C)O)O,carcinogenic
48413708,C(CN(CC(=O)[O-])CC(=O)[O-])N(CC(=O)O)CC(=O)[O-].O.O.O.[Na+].[Na+].[Na+],non-carcinogenic
48413709,CCO.CC1=C(C(C(=C(N1)C)P2(=O)OCC(CO2)(C)C)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OCCN(CC4=CC=CC=C4)C5=CC=CC=C5.Cl,non-carcinogenic
48413713,CC1=CC(=C2C(=C1)C(=O)C3=CC(=CC(=C3C2=O)O)O)O,non-carcinogenic
48413715,C1C2C(COS(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,non-carcinogenic
48413716,C1C2C3C(C1C4C2O4)C5(C(=C(C3(C5(Cl)Cl)Cl)Cl)Cl)Cl,non-carcinogenic
48413717,C(C(OC(F)F)(F)F)(F)Cl,non-carcinogenic
48413719,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3CCC(=O)C4,non-carcinogenic
48413720,CC(C(C1=CC=CC=C1)O)NC.CC(C(C1=CC=CC=C1)O)NC.OS(=O)(=O)O,non-carcinogenic
48413721,C1C(O1)CCl,carcinogenic
48413724,CCC1CO1,carcinogenic
48413725,C(C(C1C(=C(C(=O)O1)O)O)O)[O-].[Na+],non-carcinogenic
48413726,CCCCCCCCCCCCCCCCCC(=O)[O-].CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)[NH+](C)C)O)(C)O)C)C)O)(C)O,non-carcinogenic
48413727,C1C2=NN=CN2C3=C(C=C(C=C3)Cl)C(=N1)C4=CC=CC=C4,non-carcinogenic
48413729,CC12CCC3C(C1CCC2OC(=O)CC4=CC=C(C=C4)N(CCCl)CCCl)CCC5=C3C=CC(=C5)OC(=O)CC6=CC=C(C=C6)N(CCCl)CCCl,carcinogenic
48413734,CCSCCC(C(=O)O)N,carcinogenic
48413737,CCOC1=CC2=C(C=C1)NC(C=C2C)(C)C,non-carcinogenic
48413738,CCOC(=O)C=C,carcinogenic
48413739,CCO,carcinogenic
48413740,CCN=[N+](CC)[O-],carcinogenic
48413741,CC[N+](=NC)[O-],carcinogenic
48413744,CCC1=CC=C(C=C1)C(C2=CC=C(C=C2)CC)C(Cl)Cl,non-carcinogenic
48413745,CCN(C=O)N,carcinogenic
48413746,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,non-carcinogenic
48413747,CCN(C(=N[N+](=O)[O-])N)N=O,carcinogenic
48413748,CCN(C(=O)N)N=O,carcinogenic
48413749,CCN(CC)C(=S)S[Te](SC(=S)N(CC)CC)(SC(=S)N(CC)CC)SC(=S)N(CC)CC,non-carcinogenic
48413751,CCC1=CC=CC=C1,carcinogenic
48413752,C(CO)O,non-carcinogenic
48413754,C1CN1,carcinogenic
48413755,C1CO1,carcinogenic
48413756,C1CNC(=S)N1,carcinogenic
48413757,C1CNC(=O)N1,non-carcinogenic
48413758,C(CNC(=S)[S-])NC(=S)[S-].[Na+].[Na+],non-carcinogenic
48413761,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,carcinogenic
48413762,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,carcinogenic
48413763,CCNN.Cl,carcinogenic
48413764,CCN(C(=O)NCCO)N=O,carcinogenic
48413765,CCN(C(=O)NCC(=O)C)N=O,carcinogenic
48413766,CCN(C#N)N=O,carcinogenic
48413769,CC(=O)OC1CCC2C3CCC4(C(C3CCC2=C1)CCC4(C#C)OC(=O)C)C,non-carcinogenic
48413770,CCC1=CC=CC2=C1NC3=C2CCOC3(CC)CC(=O)O,non-carcinogenic
48413772,COC1=C(C=CC(=C1)CC=C)O,non-carcinogenic
48413773,C1CC(N2C=NC=C2C1)C3=CC=C(C=C3)C#N.Cl,non-carcinogenic
48413774,CN(C)C1=CC=C(C=C1)N=NS(=O)(=O)[O-].[Na+],non-carcinogenic
48413775,CC1=C(C=CC(=C1)OP(=S)(OC)OC)SC,non-carcinogenic
48413776,CC(C)C(C1=CC=C(C=C1)Cl)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3,non-carcinogenic
48413777,[Cl-].[Cl-].[Cl-].[Fe+3],non-carcinogenic
48413778,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.O.O.O.O.[Fe+3],non-carcinogenic
48413779,CN(C)C(=S)[S-].CN(C)C(=S)[S-].CN(C)C(=S)[S-].[Fe+3],non-carcinogenic
48413781,CC(=O)O.C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F,non-carcinogenic
48413783,CN(C)C(=O)NC1=CC=CC(=C1)C(F)(F)F,non-carcinogenic
48413784,C1C2=CC=CC=C2C3=C1C=C(C=C3)NC(=O)C(F)(F)F,carcinogenic
48413785,[F-].[Na+],non-carcinogenic
48413786,C1=CC(=CC=C1C2=CC=C(C=C2)F)N,carcinogenic
48413789,C1=C(C(=O)NC(=O)N1)F,carcinogenic
48413790,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F.Cl,non-carcinogenic
48413792,C=O,carcinogenic
48413795,C1=C(OC(=C1)[N+](=O)[O-])C2=CSC(=N2)NNC=O,carcinogenic
48413797,C(=O)NN,carcinogenic
48413799,CCCCC(C)C(C(CC(C)CC(CCCCC(CC(C(C)N)O)O)O)OC(=O)CC(CC(=O)O)C(=O)O)OC(=O)CC(CC(=O)O)C(=O)O,carcinogenic
48413801,C1=COC=C1,carcinogenic
48413802,C1=COC(=C1)C=O,carcinogenic
48413803,C1=COC(=C1)CO,carcinogenic
48413807,CC(C)(CCCCCCC(C)(C)CO)CO,non-carcinogenic
48413809,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],carcinogenic
48413810,CC(=CCCC(=CCOC(=O)C)C)C,non-carcinogenic
48413812,CC12C(C=CC3(C1C(C45C3CCC(C4)(C(=C)C5)O)C(=O)O)OC2=O)O,non-carcinogenic
48413813,CC1=CC=CN2C1=NC3=C2N=C(C=C3)N,carcinogenic
48413814,C1=CC2=NC3=C(N2C=C1)N=C(C=C3)N,carcinogenic
48413817,C1=CC(=CC=C1CO)NNC(=O)CCC(C(=O)O)N,non-carcinogenic
48413818,C(CC=O)CC=O,non-carcinogenic
48413821,C(C(CCl)O)O,non-carcinogenic
48413823,C1C(O1)CO,carcinogenic
48413827,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)[O-])O)O)OC5C(C(C(C(O5)C(=O)[O-])O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)O)C)C)C)C.[Na+].[Na+],non-carcinogenic
48413828,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3)C5=CC=CC=C5.[Na+],carcinogenic
48413830,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3)C5=C(C=C(C=C5)O)S(=O)(=O)[O-].[Na+].[Na+],non-carcinogenic
48413831,CC1CC(=O)C=C(C12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC,carcinogenic
48413834,C1=C2C(=C(C(=C1Cl)Cl)Cl)OC3=C(C(=C(C=C3O2)Cl)Cl)Cl,carcinogenic
48413836,C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,carcinogenic
48413837,C1CCCNCCC1,non-carcinogenic
48413839,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)Cl,carcinogenic
48413840,C(=C(Cl)Cl)(C(=C(Cl)Cl)Cl)Cl,carcinogenic
48413841,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,carcinogenic
48413841,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,carcinogenic
48413841,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,carcinogenic
48413841,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,carcinogenic
48413845,C1(=C(C(C(=C1Cl)Cl)(Cl)Cl)Cl)Cl,non-carcinogenic
48413846,C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,carcinogenic
48413847,C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl,non-carcinogenic
48413848,CC=CC=CC=O,carcinogenic
48413849,CN(C)C(=O)NC1CC2CC1C3C2CCC3,non-carcinogenic
48413850,C1N2CN3CN1CN(C2)C3,non-carcinogenic
48413851,C(N(CO)C1=NC(=NC(=N1)N(CO)CO)N(CO)CO)O,carcinogenic
48413853,CCCCCC=NN(C)C=O,carcinogenic
48413857,CCCCCCN(C(=O)N)N=O,carcinogenic
48413858,CCCCCCC1=C(C=C(C=C1)O)O,non-carcinogenic
48413859,C1=C(NC=N1)CC(C(=O)O)N.Cl,non-carcinogenic
48413861,NN,carcinogenic
48413862,NN.OS(=O)(=O)O,carcinogenic
48413863,C1=CC(=CC=C1C2=CSC(=N2)NN)N,carcinogenic
48413864,C1=C(OC(=C1)[N+](=O)[O-])C2=CSC(=N2)NN,carcinogenic
48413865,C1=CC(=CC=C1C2=CSC(=N2)NN)[N+](=O)[O-],carcinogenic
48413868,C1=CC(=CC=C1C(=O)O)NN.Cl,carcinogenic
48413869,C1=CC=C(C=C1)NNC2=CC=CC=C2,carcinogenic
48413871,C(C(F)(F)F)(Cl)Cl,carcinogenic
48413872,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,non-carcinogenic
48413873,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O,non-carcinogenic
48413875,C1=CC(=CC=C1O)O,carcinogenic
48413876,C1=CC=C(C=C1)COC2=CC=C(C=C2)O,non-carcinogenic
48413878,CC(=O)N(C1=CC2=C(C=C1)C3=CC=CC=C3C2)O,carcinogenic
48413881,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=CC=C3)O,carcinogenic
48413884,CCNC(=O)N(CCO)N=O,carcinogenic
48413885,C(CO)N(C(=O)N)N=O,carcinogenic
48413888,C(CN(C(=O)N)N=O)CO,carcinogenic
48413889,C1=CC2=C(C(=C1)O)N=CC=C2,non-carcinogenic
48413890,C=CC(C1=CC2=C(C=C1)OCO2)O,carcinogenic
48413892,CC(CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2,carcinogenic
48413893,C1=CN(N=C1NC(=NCC(F)(F)F)N)CCCCC(=O)N,carcinogenic
48413894,CS(=O)(=O)OCCCNCCCOS(=O)(=O)C.Cl,non-carcinogenic
48413895,C(C(=O)O)NCC(=O)[O-].[Na+],non-carcinogenic
48413897,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,non-carcinogenic
48413898,CC1(C2=C(C=CC(=C2)C3=NNC(=O)CC3)NC1=O)C,carcinogenic
48413900,CC(C1OCC(O1)CO)I,carcinogenic
48413902,C(I)(I)I,non-carcinogenic
48413903,CCN(CC)CCCNC(=O)CN1C(=C(C=N1)C2=CC=CC=C2)C3=CC=CC=C3.C(=CC(=O)O)C(=O)O,non-carcinogenic
48413904,CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,carcinogenic
48413905,CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N.Cl,carcinogenic
48413907,CC=C1CC(C(C(=O)OCC2=CC[N+]3(C2C(CC3)OC1=O)[O-])(CO)O)C,carcinogenic
48413909,CC(C)COC(=O)C1=CC=C(C=C1)O,non-carcinogenic
48413910,CC(C)CON=O,carcinogenic
48413912,CC(C)C=O,non-carcinogenic
48413913,C(C(F)(F)F)(OC(F)F)Cl,non-carcinogenic
48413914,C(C1C(C(C(C(O1)OCC(C(C(C(CO)O)O)O)O)O)O)O)O,non-carcinogenic
48413915,COC1=C(C=CC(=C1)S(=O)C)C2=NC3=C(N2)C=NC=C3,carcinogenic
48413916,C1=CN=CC=C1C(=O)NN,carcinogenic
48413917,C1=CN=CC=C1C(=O)N,non-carcinogenic
48413918,C1=CN=CC=C1C(=O)O,non-carcinogenic
48413919,COC1=CC(=CNNC(=O)C2=CC=NC=C2)C=CC1=O,carcinogenic
48413920,CC1=CC(=O)CC(C1)(C)C,carcinogenic
48413921,C1CN(P(=O)(OC1)NCCCl)CCCl,carcinogenic
48413922,CC(=C)C=C,carcinogenic
48413923,CC(C)O,non-carcinogenic
48413924,CC(C)OC1=CC=C(C=C1)NC2=CC=CC=C2,non-carcinogenic
48413925,CC(C)OC(=O)NC1=CC(=CC=C1)Cl,non-carcinogenic
48413926,CC1=NN(C(=C1)OC(=O)N(C)C)C(C)C,non-carcinogenic
48413927,CC(C)OC(=O)NC1=CC=CC=C1,non-carcinogenic
48413928,CC=CC1=CC2=C(C=C1)OCO2,non-carcinogenic
48413930,CC1CC=CC=CC(C(CC(C(C(C(CC(=O)O1)OC(=O)C)OC)OC2C(C(C(C(O2)C)OC3CC(C(C(O3)C)OC(=O)CC(C)C)(C)O)N(C)C)O)CC=O)C)O,non-carcinogenic
48413931,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,non-carcinogenic
48413933,C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl,carcinogenic
48413935,C1=C(OC=C(C1=O)O)CO,carcinogenic
48413936,CC=C(C)C(=O)OC1CCN2C1C(=CC2)COC(=O)C(C(C)OC)(C(C)(C)O)O,carcinogenic
48413938,CC(=O)O[Pb]OC(=O)C.O.O.O.O.[Pb].[Pb],carcinogenic
